Food item,Store,GTIN/UPC,Price,Quantity,Unit,Brand/Type,Energy,Protein,"Fiber, total dietary","Folate, DFE","Calcium, Ca","Carbohydrate, by difference","Iron, Fe","Magnesium, Mg",Niacin,"Phosphorus, P","Potassium, K",Riboflavin,Thiamin,"Vitamin A, RAE",Vitamin B-12,Vitamin B-6,"Vitamin C, total ascorbic acid",Vitamin E (alpha-tocopherol),Vitamin K (phylloquinone),"Zinc, Zn","Sodium, Na",Energy
Bread,Whole Foods,071214161580,5.99,12,oz, Soft & Delicious White Sandwich Bread,241.0,6.9,3.4,0.0,207.0,48.3,2.48,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,862.0,241.0
Rice,Whole Foods,017400118006,3.69,1,lb,Organic White Long Grain Rice,370.0,8.7,0.0,0.0,0.0,82.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370.0
Pasta,Whole Foods,748023090072,1.59,16,oz,"Pasta, Spaghetti",375.0,10.7,3.6,0.0,0.0,76.8,3.21,0.0,5.36,0.0,0.0,0.455,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375.0
Apples,Whole Foods,887434088381,2.49,1,lb,Honeycrisp Apples,54.0,0.41,2.1,0.0,8.0,14.0,0.15,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,54.0
Tomatoes,Whole Foods,021130338023,2.99,1,lb,Roma Tomato,21.0,0.83,0.8,0.0,0.0,4.13,0.0,0.0,0.0,0.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,21.0
Lettuce,Whole Foods,07789015057,1.99,10,oz,Romaine Lettuce,18.0,1.18,2.4,0.0,33.0,3.53,0.94,0.0,0.0,0.0,247.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,102.0,0.0,6.0,18.0
Eggs,Whole Foods,03003491319,3.99,20.5,oz,Large White Eggs,140.0,12.0,0.0,0.0,60.0,0.0,2.0,0.0,0.0,0.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,140.0
Milk,Whole Foods,758940583670,2.99,32,Floz,Organic Lowfat 1% Milk,47.0,3.39,0.0,0.0,138.0,5.08,0.0,0.0,0.0,0.0,153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,47.0
Frozen Shrimp,Whole Foods,646232235133,11.99,1,lb,Peeled Deveined White Shrimp,107.0,20.5,0.0,0.0,54.0,0.89,1.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,107.0
Chicken,Whole Foods,024105517058,4.99,1,lb,Organic Chicken Drumsticks,134.0,17.9,0.0,0.0,0.0,0.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,134.0
Peanut Butter,Whole Foods,072488981454,4.49,16,oz,Peanut Butter,588.0,23.5,8.8,0.0,59.0,20.6,2.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,824.0,588.0
Spinach,Whole Foods,085680400418,4.49,5,oz,Baby Spinach,24.0,2.35,2.4,0.0,94.0,3.53,3.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.2,0.0,0.0,0.0,76.0,24.0
Cucumber,Whole Foods,895580002816,1.29,14,oz,Slicing Cucumbers,15.0,0.0,0.5,0.0,19.0,3.85,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.0,0.0,0.0,2.0,15.0
Carrots,Whole Foods,030034302894,1.49,1,lb,Organic Loose Carrots,38.0,1.28,2.6,0.0,26.0,8.97,0.51,0.0,0.0,0.0,321.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,38.0
Yogurt ,Whole Foods,7203672758,7.99,32,oz,"Whole Milk Yogurt, Plain",82.0,4.71,0.0,0.0,161.0,8.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,82.0
Oatmeal ,Whole Foods,741643020603,3.99,18,oz,"Organic Hot Cereal, Old-fashioned Rolled Oats",375.0,12.5,10.0,0.0,0.0,67.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375.0
Granola,Whole Foods,897742002023,9.99,10,oz,The Granola Guru - Unsweetened GRANOLA,464.0,14.3,7.1,0.0,71.0,46.4,3.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,464.0
Ground Turkey,Whole Foods,041415313804,10.49,16,oz,Ground Turkey Breast,116.0,24.1,0.0,0.0,0.0,0.0,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,116.0
Butter,Whole Foods,081312500006,5.99,8,oz,Lactose Free Butter,714.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.0,714.0
Bell Peppers,Whole Foods,095829600241,2.49,1,lb,Green Bell Pepper,17.0,0.0,1.4,0.0,10.0,4.05,0.34,0.0,0.0,0.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,17.0
Nuts,Whole Foods,181174000390,4.99,16,oz,"Peanuts, Dry Roasted & Unsalted",571.0,25.0,10.7,0.0,18.0,32.1,3.57,0.0,0.0,0.0,675.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1390.0,571.0
Vegetable Oil,Whole Foods,751884912162,4.69,32,Floz,Vegetable Oil - 365 by Whole Foods,857.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,857.0
Fish,Whole Foods,852986007425,13.99,1,lb,Atlantic Salmon Fillet,212.0,20.4,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,248.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,212.0
Cheese,Whole Foods,828653282457,5.99,6,oz,CHEESE SLICED MEDIUM CHEDDAR SHINGLE,432.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,686.0,432.0
Cereal,Whole Foods,018627742005,5.49,13.1,oz, GoLean Cereal - orginal,350.0,22.5,17.5,0.0,0.0,60.0,2.7,0.0,0.0,0.0,650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275.0,350.0
Kale,Whole Foods,028764001613,2.99,1,lb,Organic Red Kale,49.0,4.23,3.5,0.0,150.0,8.45,1.41,0.0,0.0,0.0,490.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,704.0,0.0,39.0,49.0
Quinoa,Whole Foods,030034934811,5.99,16,oz,Organic White Quinoa,378.0,13.3,6.7,0.0,44.0,64.4,4.44,0.0,0.0,0.0,556.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,378.0
Onion,Whole Foods,688267083532,1.99,1,lb,Yellow Onion,30.0,0.68,2.0,0.0,27.0,7.43,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.1,0.0,0.0,0.0,3.0,30.0
Sugar,Whole Foods,099482424121,5.49,64,oz,Cane Sugar - 365 by Whole Foods,375.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375.0
Bagels,Whole Foods,813238000106,4.99,18,oz,Organic Bagels Plain,254.0,6.34,2.1,0.0,2.0,55.6,2.82,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,254.0
Avocado,Whole Foods,873668002439,2.99,7.6,oz,Del Rey Avocados,167.0,3.33,6.7,0.0,0.0,10.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,167.0
Coffee ,Whole Foods,0071403000010,11.89,10.5,oz,Ground Coffee Colombia,4.0,0.0,0.0,0.0,2.0,0.4,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0
Chicken Meatball,Whole Foods,0810882011434,5.39,10,oz,Chicken Meatballs,175.0,12.5,0.0,0.0,60.0,7.5,1.25,0.0,0.0,0.0,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,550.0,175.0
Flour,Whole Foods,071012010509,4.99,2,lb,King Arthur Organic All Purpose Flour,367.0,13.3,3.3,0.0,0.0,76.7,4.8,0.0,5.33,0.0,0.0,0.453,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,367.0
